Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_002,Edge Chromium 120,,,26-01-2024 03:12:29,26-01-2024 03:13:12,42.981s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_ValidateSearchFieldItem_002,Edge Chromium 120,,,26-01-2024 03:12:29,26-01-2024 03:13:12,42.745s,PASSED
"openBrowser("""")",Edge Chromium 120,,,26-01-2024 03:12:29,26-01-2024 03:12:31,2.117s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Edge Chromium 120,,,26-01-2024 03:12:31,26-01-2024 03:12:36,4.277s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Edge Chromium 120,,,26-01-2024 03:12:36,26-01-2024 03:12:39,3.133s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""da vinci code"")",Edge Chromium 120,,,26-01-2024 03:12:39,26-01-2024 03:12:40,0.827s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 03:12:40,26-01-2024 03:12:43,3.697s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/select_All Departments        Arts  Crafts _135c92""), ""search-alias=electronics-intl-ship"", true)",Edge Chromium 120,,,26-01-2024 03:12:43,26-01-2024 03:12:46,2.194s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/input_Search Amazon_field-keywords""), ""Mobile phones"")",Edge Chromium 120,,,26-01-2024 03:12:46,26-01-2024 03:12:47,1.430s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 03:12:47,26-01-2024 03:12:54,6.680s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/select_Electronics        All Departments  _28d51a""), ""search-alias=aps"", true)",Edge Chromium 120,,,26-01-2024 03:12:54,26-01-2024 03:12:57,3.217s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/input_Search Amazon_field-keywords""), ""Washing Machines"")",Edge Chromium 120,,,26-01-2024 03:12:57,26-01-2024 03:12:58,1.442s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 03:12:58,26-01-2024 03:13:04,5.640s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Washing Machines/input_Search Amazon_field-keywords""), ""Wooden Tables"")",Edge Chromium 120,,,26-01-2024 03:13:04,26-01-2024 03:13:06,2.025s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Washing Machines/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 03:13:06,26-01-2024 03:13:11,5.314s,PASSED
closeBrowser(),Edge Chromium 120,,,26-01-2024 03:13:11,26-01-2024 03:13:12,0.418s,PASSED
