Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:32:37,26-01-2024 03:32:53,16.452s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:32:37,26-01-2024 03:32:53,16.242s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-01-2024 03:32:37,26-01-2024 03:32:39,1.892s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,26-01-2024 03:32:39,26-01-2024 03:32:44,5.068s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,26-01-2024 03:32:44,26-01-2024 03:32:48,3.496s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""9912667488"")",Chrome 121.0.0.0,,,26-01-2024 03:32:48,26-01-2024 03:32:49,1.257s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,26-01-2024 03:32:49,26-01-2024 03:32:51,2.508s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Forgot your password_password""), ""WLLQQNs5EWZLJLX2thenaj8G2Ax0LCa1"")",Chrome 121.0.0.0,,,26-01-2024 03:32:51,26-01-2024 03:32:53,1.063s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,26-01-2024 03:32:53,26-01-2024 03:32:53,0.364s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-01-2024 03:32:53,26-01-2024 03:32:53,0.232s,PASSED
